Symbol,Company Name,GICS Sector
A,Agilent Technologies,Health Care
AAL,American Airlines Group,Industrials
AAP,Advance Auto Parts,Consumer Discretionary
AAPL,Apple,Information Technology
ABBV,AbbVie,Health Care
ABC,AmerisourceBergen,Health Care
ABMD,Abiomed,Health Care
ABT,Abbott Laboratories,Health Care
ACN,Accenture,Information Technology
ADBE,Adobe,Information Technology
ADI,Analog Devices,Information Technology
ADM,ADM,Consumer Staples
ADP,Automatic Data Processing,Information Technology
ADSK,Autodesk,Information Technology
AEE,Ameren Corp,Utilities
AEP,American Electric Power,Utilities
AES,AES Corp,Utilities
AFL,Aflac,Financials
AIG,American International Group,Financials
AIZ,Assurant,Financials
AJG,Arthur J. Gallagher & Co.,Financials
AKAM,Akamai Technologies,Information Technology
ALB,Albemarle Corporation,Materials
ALGN,Align Technology,Health Care
ALK,Alaska Air Group,Industrials
ALL,Allstate Corp,Financials
ALLE,Allegion,Industrials
ALXN,Alexion Pharmaceuticals,Health Care
AMAT,Applied Materials,Information Technology
AMCR,Amco,Materials
AMD,Advanced Micro Devices,Information Technology
AME,Ametek,Industrials
AMGN,Amgen,Health Care
AMP,Ameriprise Financial,Financials
AMT,American Tower,Real Estate
AMZN,Amazon,Consumer Discretionary
ANET,Arista Networks,Information Technology
ANSS,Ansys,Information Technology
ANTM,Anthem,Health Care
AON,Aon,Financials
AOS,AO Smith,Industrials
APA,APA Corporation,Energy
APD,Air Products & Chemicals,Materials
APH,Amphenol Corp,Information Technology
APTV,Aptiv,Consumer Discretionary
ARE,Alexandria Real Estate Equities,Real Estate
ATO,Atmos Energy,Utilities
ATVI,Activision Blizzard,Communication Services
AVB,AvalonBay Communities,Real Estate
AVGO,Broadcom,Information Technology
AVY,Avery Dennison,Materials
AWK,American Water Works,Utilities
AXP,American Express,Financials
AZO,AutoZone,Consumer Discretionary
BA,Boeing Company,Industrials
BAC,Bank of America,Financials
BAX,Baxter International,Health Care
BBY,Best Buy,Consumer Discretionary
BDX,Becton Dickinson,Health Care
BEN,Franklin Resources,Financials
BF.B,Brown-Forman,Consumer Staples
BIIB,Biogen,Health Care
BIO,Bio-Rad Laboratories,Health Care
BK,BNY Mellon,Financials
BKNG,Booking Holdings,Consumer Discretionary
BKR,Baker Hughes,Energy
BLK,BlackRock,Financials
BLL,Ball Corp,Materials
BMY,Bristol-Myers Squibb,Health Care
BR,Broadridge Financial Solutions,Information Technology
BRK.B,Berkshire Hathaway,Financials
BSX,Boston Scientific,Health Care
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Real Estate
C,Citigroup,Financials
CAG,Conagra Brands,Consumer Staples
CAH,Cardinal Health,Health Care
CARR,Carrier Global,Industrials
CAT,Caterpillar,Industrials
CB,Chubb,Financials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE,Real Estate
CCI,Crown Castle,Real Estate
CCL,Carnival Corporation,Consumer Discretionary
CDNS,Cadence Design Systems,Information Technology
CDW,CDW,Information Technology
CE,Celanese,Materials
CERN,Cerner,Health Care
CF,CF Industries,Materials
CFG,Citizens Financial Group,Financials
CHD,Church & Dwight,Consumer Staples
CHRW,C. H. Robinson,Industrials
CHTR,Charter Communications,Communication Services
CI,Cigna,Health Care
CINF,Cincinnati Financial,Financials
CL,Colgate-Palmolive,Consumer Staples
CLX,Clorox,Consumer Staples
CMA,Comerica,Financials
CMCSA,Comcast,Communication Services
CME,CME Group,Financials
CMG,Chipotle Mexican Grill,Consumer Discretionary
CMI,Cummins,Industrials
CMS,CMS Energy,Utilities
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
COF,Capital One Financial,Financials
COG,Cabot Oil & Gas,Energy
COO,The Cooper Companies,Health Care
COP,ConocoPhillips,Energy
COST,Costco,Consumer Staples
CPB,Campbell Soup,Consumer Staples
CPRT,Copart,Industrials
CRL,Charles River Laboratories,Health Care
CRM,Salesforce,Information Technology
CSCO,Cisco Systems,Information Technology
CSX,CSX,Industrials
CTAS,Cintas Corporation,Industrials
CTLT,Catalent,Health Care
CTSH,Cognizant Technology Solutions,Information Technology
CTVA,Corteva,Materials
CTXS,Citrix Systems,Information Technology
CVS,CVS Health,Health Care
CVX,Chevron Corporation,Energy
CZR,Caesars Entertainment,Consumer Discretionary
D,Dominion Energy,Utilities
DAL,Delta Air Lines,Industrials
DD,DuPont,Materials
DE,Deere & Co.,Industrials
DFS,Discover Financial Services,Financials
DG,Dollar General,Consumer Discretionary
DGX,Quest Diagnostics,Health Care
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher Corporation,Health Care
DIS,The Walt Disney Company,Communication Services
DISCA,Discovery (Class A),Communication Services
DISCK,Discovery  (Class C),Communication Services
